,aantal_cilinders,emissiecode_omschrijving,jaar,cilinderinhoud
254,3.0,0.0,2023,916.5
255,3.0,1.0,1992,976.3541666666666
256,3.0,1.0,1993,945.2589285714286
257,3.0,1.0,1994,923.0090909090909
258,3.0,1.0,1995,907.5701357466063
259,3.0,1.0,1996,846.5
260,3.0,1.0,1998,909.0
261,3.0,1.0,1999,846.0
262,3.0,1.0,2000,833.1666666666666
263,3.0,1.0,2001,720.3333333333334
264,3.0,1.0,2002,1189.0
265,3.0,1.0,2005,923.0
266,3.0,1.0,2006,657.0
267,3.0,1.0,2007,657.0
268,3.0,1.0,2008,657.3333333333334
269,3.0,1.0,2009,1309.5
270,3.0,1.0,2010,993.0
271,3.0,1.0,2011,1190.0
272,3.0,1.0,2013,834.6666666666666
273,3.0,1.0,2014,656.0
274,3.0,1.0,2015,825.0
275,3.0,1.0,2016,657.0
276,3.0,1.0,2017,658.0
277,3.0,1.0,2018,657.0
278,3.0,1.0,2019,658.5
279,3.0,1.0,2020,713.1666666666666
280,3.0,1.0,2021,790.0
281,3.0,1.0,2022,923.1666666666666
282,3.0,1.0,2023,657.0
283,3.0,2.0,1995,1189.0
284,3.0,2.0,1996,892.6927710843373
285,3.0,2.0,1997,871.4419642857143
286,3.0,2.0,1998,884.1452991452992
287,3.0,2.0,1999,858.8197381671702
288,3.0,2.0,2000,845.485036119711
289,3.0,2.0,2001,895.2777777777778
290,3.0,2.0,2002,880.3939393939394
291,3.0,2.0,2003,795.2962962962963
292,3.0,2.0,2004,768.15
293,3.0,2.0,2005,814.625
294,3.0,2.0,2006,875.4666666666667
295,3.0,2.0,2007,870.3333333333334
296,3.0,2.0,2008,936.5
297,3.0,2.0,2009,874.1428571428571
298,3.0,2.0,2010,978.0
299,3.0,2.0,2011,887.3333333333334
300,3.0,2.0,2012,973.0
301,3.0,2.0,2013,919.8333333333334
302,3.0,2.0,2014,858.0
303,3.0,2.0,2015,781.0
304,3.0,2.0,2016,794.2727272727273
305,3.0,2.0,2017,859.0
306,3.0,2.0,2018,934.3333333333334
307,3.0,2.0,2019,698.6666666666666
308,3.0,2.0,2020,879.5
309,3.0,2.0,2021,814.625
310,3.0,2.0,2022,681.2
311,3.0,2.0,2023,973.0
312,3.0,4.0,1999,1191.0
313,3.0,4.0,2000,881.1020408163265
314,3.0,4.0,2001,813.393690851735
315,3.0,4.0,2002,839.5693365212194
316,3.0,4.0,2003,903.3319536423841
317,3.0,4.0,2004,843.3373702422145
318,3.0,4.0,2005,845.8721374045801
319,3.0,4.0,2006,1076.56
320,3.0,4.0,2007,1061.2125
321,3.0,4.0,2008,1060.3037974683543
322,3.0,4.0,2009,1112.525
323,3.0,4.0,2010,1103.7359413202935
324,3.0,4.0,2011,1095.1291390728477
325,3.0,4.0,2012,1122.4041095890411
326,3.0,4.0,2013,1133.88
327,3.0,4.0,2014,1143.070938215103
328,3.0,4.0,2015,1124.4492307692308
329,3.0,4.0,2016,1097.121739130435
330,3.0,4.0,2017,1086.8260869565217
331,3.0,4.0,2018,994.7777777777778
332,3.0,4.0,2019,1118.9795918367347
333,3.0,4.0,2020,1071.8843537414966
334,3.0,4.0,2021,1043.099290780142
335,3.0,4.0,2022,1017.8360655737705
336,3.0,4.0,2023,1056.7083333333333
337,3.0,4.0,2000,973.0
338,3.0,4.0,2001,973.8241758241758
339,3.0,4.0,2002,1112.8936170212767
340,3.0,4.0,2003,991.7670641447369
341,3.0,4.0,2004,1007.9868978028624
342,3.0,4.0,2005,1018.4140587385652
343,3.0,4.0,2006,1015.1990009549695
344,3.0,4.0,2007,1028.4811613934353
345,3.0,4.0,2008,1007.892183088126
346,3.0,4.0,2009,1009.6420886777124
347,3.0,4.0,2010,1006.5328201307839
348,3.0,4.0,2011,1009.8392519833774
349,3.0,4.0,2012,1017.2041480276536
350,3.0,4.0,2013,1021.6848157709458
351,3.0,4.0,2014,1028.728170083523
352,3.0,4.0,2015,1030.979020979021
353,3.0,4.0,2016,1036.4261239368166
354,3.0,4.0,2017,1040.9900805951643
355,3.0,4.0,2018,1038.007345379756
356,3.0,4.0,2019,1038.1377276669557
357,3.0,4.0,2020,1033.0548319327731
358,3.0,4.0,2021,1039.3414193548388
359,3.0,4.0,2022,1037.0347666971638
360,3.0,4.0,2023,1048.2162849872773
361,3.0,5.0,2009,1013.1715445154944
362,3.0,5.0,2010,1076.8422005170928
363,3.0,5.0,2011,1055.0186041975924
364,3.0,5.0,2012,1038.5882727394066
365,3.0,5.0,2013,1018.8607332734931
366,3.0,5.0,2014,1017.0073073703811
367,3.0,5.0,2015,1002.444661649236
368,3.0,5.0,2016,1028.216752201736
369,3.0,5.0,2017,1048.669658267173
370,3.0,5.0,2018,1050.5066758975374
371,3.0,5.0,2019,1047.3590474251985
372,3.0,5.0,2020,1050.76051625239
373,3.0,5.0,2021,1057.6992161037454
374,3.0,5.0,2022,1057.8084075636818
375,3.0,5.0,2023,1059.3120452708165
376,3.0,6.0,2013,999.0
377,3.0,6.0,2014,1233.269922212619
378,3.0,6.0,2015,1088.2248937677055
379,3.0,6.0,2016,1053.189767964507
380,3.0,6.0,2017,1054.0152709493414
381,3.0,6.0,2018,1052.7652384419205
382,3.0,6.0,2019,1070.9928869378314
383,3.0,6.0,2020,1102.0122829022453
