,IsRecentlyVerified,DateLastVerified,ID,UUID,DataProviderID,OperatorID,UsageTypeID,Connections,NumberOfPoints,StatusTypeID,DateLastStatusUpdate,DataQualityLevel,DateCreated,SubmissionStatusTypeID,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.Town,AddressInfo.StateOrProvince,AddressInfo.Postcode,AddressInfo.CountryID,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.DistanceUnit,GeneralComments,AddressInfo.RelatedURL,UsageCost,AddressInfo.AddressLine2,AddressInfo.AccessComments,AddressInfo.ContactTelephone1,AddressInfo.ContactEmail,AddressInfo.ContactTelephone2,OperatorsReference,DataProvidersReference,MetadataValues,DateLastConfirmed,ID,ConnectionTypeID,StatusTypeID,LevelID,PowerKW,CurrentTypeID,Quantity,Reference,Amps,Voltage,Comments
20,True,2022-10-16T09:57:00Z,208214,8C1FD358-ED02-4E4F-BD09-41ABFFF96520,1,1.0,4.0,"[{'ID': 346514, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 11.0, 'Quantity': 1}]",4.0,50,2022-10-16T09:57:00Z,1.0,2022-10-15T09:32:00Z,200,208594,Avelingen-West,Avelingen-West,Gorinchem,South Holland,4202MS,159,51.8360073270031,4.939790531752465,0,,,,,,,,,,,,,346514.0,25.0,50.0,2.0,11.0,,1.0,,,,
21,True,2023-02-13T21:02:00Z,208212,FB80590A-D651-4DAC-86B7-20FA97E75F1B,1,1.0,4.0,"[{'ID': 346511, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 11.0, 'Quantity': 1}]",4.0,50,2023-02-13T21:02:00Z,1.0,2022-10-15T09:26:00Z,200,208592,50 Van Heemstraweg,50 Van Heemstraweg,West Maas en Waal,Gelderland,6658KH,159,51.87832100591848,5.522909074397148,0,CPID LIB_2912,,,,,,,,,,,,346511.0,25.0,50.0,2.0,11.0,,1.0,,,,
22,True,2022-10-10T19:59:00Z,207411,F8A12675-1011-453F-A988-6FFCD92E2089,1,63.0,4.0,"[{'ID': 345323, 'ConnectionTypeID': 25, 'Reference': 'NL-GFX-ENTLP007209-2', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 17.0, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 345324, 'ConnectionTypeID': 25, 'Reference': 'NL-GFX-ENTLP007209-1', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 17.0, 'CurrentTypeID': 20, 'Quantity': 1}]",1.0,50,2022-10-10T19:59:00Z,1.0,2022-10-10T18:40:00Z,200,207791,4 Einsteinstraat,4 Einsteinstraat,Haarlem,North Holland,2014KS,159,52.36773974028,4.612164531240637,0,,,,,,+31 (0) 30 41 00 887,,,,,,,345323.0,25.0,50.0,2.0,17.0,20.0,1.0,NL-GFX-ENTLP007209-2,,,
23,True,2022-10-10T20:18:00Z,206938,4540E353-26BD-4D16-AE8E-C4A4FE87FC4E,1,103.0,1.0,"[{'ID': 344651, 'ConnectionTypeID': 25, 'Reference': 'NLALLEGO0043541', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 345370, 'ConnectionTypeID': 25, 'Reference': 'NLALLEGO0043562', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 345371, 'ConnectionTypeID': 25, 'Reference': 'NLALLEGO0043561', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 345372, 'ConnectionTypeID': 25, 'Reference': 'NLALLEGO0043542', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 345373, 'ConnectionTypeID': 25, 'Reference': 'NLALLEGO0043611', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 345374, 'ConnectionTypeID': 25, 'Reference': 'NLALLEGO0043582', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 345375, 'ConnectionTypeID': 25, 'Reference': 'NLALLEGO0043581', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 345376, 'ConnectionTypeID': 25, 'Reference': 'NLALLEGO0043612', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 345377, 'ConnectionTypeID': 25, 'Reference': 'NLALLEGO0043591', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 345378, 'ConnectionTypeID': 25, 'Reference': 'NLALLEGO0043592', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 345379, 'ConnectionTypeID': 25, 'Reference': 'NLALLEGO0043572', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 345380, 'ConnectionTypeID': 25, 'Reference': 'NLALLEGO0043571', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'Quantity': 1}]",6.0,50,2022-10-10T20:18:00Z,1.0,2022-10-08T08:01:00Z,200,207318,Johanna's weg,Johanna's weg,,North Holland,1901 NX,159,52.561055179424045,4.636920323230129,0,,https://smoovapp.eu/,,,,,,,,,,,344651.0,25.0,50.0,2.0,22.0,20.0,1.0,NLALLEGO0043541,,,
24,True,2022-10-25T17:29:00Z,204836,2768743F-6912-4980-9EE3-5AE14A5AAB82,1,3574.0,1.0,"[{'ID': 342075, 'ConnectionTypeID': 25, 'Reference': '00302', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'Quantity': 2}, {'ID': 342076, 'ConnectionTypeID': 25, 'Reference': '00146', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'Quantity': 2}]",2.0,50,2022-10-25T17:29:00Z,1.0,2022-10-02T09:59:00Z,200,205203,Shakespeareplein,Shakespeareplein,Utrecht,Utrecht,3533 DA,159,52.088953646361034,5.0900749398151675,0,,https://www.wedrivesolar.nl,€ 0.52/kWh,,,+31(071)-568 19 06,,,,,,,342075.0,25.0,50.0,2.0,22.0,20.0,2.0,00302,,,
25,True,2022-10-02T11:45:00Z,204328,24CDBFD8-17F5-47CC-BCD8-B9FA3B8834C3,1,108.0,6.0,"[{'ID': 341395, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50.0, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 341396, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50.0, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 342096, 'ConnectionTypeID': 1036, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 43.0, 'CurrentTypeID': 20, 'Quantity': 1}]",1.0,50,2022-10-02T11:45:00Z,1.0,2022-09-27T10:27:00Z,200,204695,McDonald's Parallelweg,Parallelweg,,North Holland,1948 NV,159,52.48018978217911,4.666021248274205,0,In front of the McDonald's.,https://incharge.vattenfall.nl,€0.5014 / kWh,,,+31 (0) 88 363 7991,,,,,,,341395.0,2.0,50.0,3.0,50.0,30.0,1.0,,,,
26,False,2022-09-12T09:24:00Z,202500,7D5C607E-3FC4-44C9-8045-01E21AFC6030,1,63.0,1.0,"[{'ID': 338641, 'ConnectionTypeID': 25, 'Reference': 'NL-GFX-EPP004022-1', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 20, 'Voltage': 230, 'PowerKW': 6.0, 'CurrentTypeID': 10, 'Quantity': 1}, {'ID': 338732, 'ConnectionTypeID': 0, 'Reference': 'NL-GFX-EPP004022-2', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 20, 'Voltage': 230, 'PowerKW': 6.0, 'CurrentTypeID': 10, 'Quantity': 1}]",1.0,50,2022-09-12T09:24:00Z,1.0,2022-09-11T11:45:00Z,200,202867,Nieuwe Kerksplein 16,Nieuwe Kerksplein 16,Haarlem,North Holland,2011 ZT,159,52.37749070088256,4.629442271028097,0,,,,,,,,,,,,,338641.0,25.0,50.0,2.0,6.0,10.0,1.0,NL-GFX-EPP004022-1,20.0,230.0,
27,False,2022-09-07T18:21:00Z,202121,203B4AFA-7BEC-4216-ADDF-D450D1FA32AD,1,63.0,1.0,"[{'ID': 337815, 'ConnectionTypeID': 25, 'Reference': 'NL*GFX*EPP002195*1', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 30, 'Voltage': 230, 'PowerKW': 6.0, 'CurrentTypeID': 10, 'Quantity': 1}, {'ID': 337816, 'ConnectionTypeID': 25, 'Reference': 'NL*GFX*EPP002195*2', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 30, 'Voltage': 230, 'PowerKW': 6.0, 'CurrentTypeID': 10, 'Quantity': 1}]",1.0,50,2022-09-07T18:21:00Z,1.0,2022-09-07T10:21:00Z,200,202488,Stephensonstraat 39,Stephensonstraat 39,Haarlem,North Holland,2014 KB,159,52.369181828691126,4.613651889691823,0,,,,,,,,,,,,,337815.0,25.0,50.0,2.0,6.0,10.0,1.0,NL*GFX*EPP002195*1,30.0,230.0,
28,False,2022-09-04T11:17:00Z,201483,ABEFE2A5-906F-4FD8-AB17-9DB38A65C6FA,1,103.0,4.0,"[{'ID': 336200, 'ConnectionTypeID': 25, 'Reference': 'NLALLEGO014481-1', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 32, 'Voltage': 480, 'PowerKW': 26.6, 'CurrentTypeID': 20, 'Quantity': 2}]",1.0,50,2022-09-04T11:17:00Z,1.0,2022-09-01T20:25:00Z,200,201847,Robijnstraat,Robijnstraat,Leiden,South Holland,2332JL,159,52.15618310880117,4.463912704653239,0,,http://www.allego.eu,,,,08003745337,,,,,,,336200.0,25.0,50.0,2.0,26.6,20.0,2.0,NLALLEGO014481-1,32.0,480.0,
29,False,2022-09-04T11:18:00Z,201482,A4C6D240-C23B-421C-824C-07FE370651B8,1,103.0,4.0,"[{'ID': 336199, 'ConnectionTypeID': 33, 'Reference': 'NLALLEGO0059691', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 32, 'Voltage': 480, 'PowerKW': 26.6, 'CurrentTypeID': 20, 'Quantity': 2}]",2.0,50,2022-09-04T11:18:00Z,1.0,2022-09-01T20:18:00Z,200,201846,7 Carneoolstraat,7 Carneoolstraat,Leiden,South Holland,2332KA,159,52.1546048796059,4.460548931738117,0,,https://www.allego.eu,.40,,,08003745337,,,,,,,336199.0,33.0,50.0,2.0,26.6,20.0,2.0,NLALLEGO0059691,32.0,480.0,
